@relation 'Flop Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
3,3,397047,2,280,5861,200,c:20
6,1,396726,4,400,11051,140,c:0
7,7,397556,2,300,8186,180,r:40
4,4,2227764,2,460,15587,320,r:40
4,2,387727,2,210,54237,140,c:20
3,1,399232,2,280,50158,200,c:20
4,4,1114197,2,250,100774,240,r:40
5,5,744632,2,280,95957,200,c:20
3,2,1115015,2,280,102132,200,r:40
3,3,1115398,2,340,103804,240,c:20
3,1,397218,2,300,103923,220,c:20
4,3,744539,2,440,103413,260,r:40
5,1,388303,2,380,107761,220,c:20
9,5,1115531,2,300,118380,160,c:20
3,2,744202,2,280,123122,200,r:40
6,1,744555,2,340,122092,200,c:20
8,1,744382,3,300,112752,160,c:0
6,2,394823,2,210,117880,180,c:20
5,2,337585,3,300,123190,180,c:0
9,2,397556,2,250,123170,240,c:20
8,2,1115028,3,330,143957,180,c:0
6,3,396344,2,350,144277,200,c:20
7,1,399608,2,320,144337,200,c:20
4,1,1114313,2,260,4011,240,r:40
9,1,397073,2,220,2920,160,c:20
5,1,377780,2,320,2725,180,r:40
5,2,299676,2,260,6819,180,c:20
7,3,396697,2,270,2629,200,c:20
4,1,743773,2,220,3701,140,c:20
7,4,1115049,2,310,3866,220,r:40
3,1,388779,3,360,1256,240,c:0
5,1,1115725,3,360,2956,280,c:0
4,2,396162,2,250,3976,200,r:40
5,3,390769,2,250,5102,200,c:20
3,2,399205,2,330,3555,200,c:20
3,1,378235,2,440,3655,340,r:40
7,7,365968,2,380,3215,200,c:20
4,3,399557,2,430,2739,240,r:40
5,1,744282,2,360,3429,300,r:40
6,1,395175,3,520,3349,220,c:0
4,3,383347,2,390,6930,180,r:40
8,6,366333,2,580,4304,240,r:40
6,6,2101048,3,490,5574,300,c:20
5,5,377810,3,380,6254,200,c:20
6,4,399261,3,450,5241,220,c:0
3,1,386544,3,300,2631,140,c:0
5,1,394889,2,180,5954,100,c:20
4,2,378782,3,360,22063,160,c:0
4,4,397035,2,210,22148,220,c:20
4,2,384164,2,370,22078,220,c:20
5,2,365785,2,620,21068,380,r:40
3,1,393232,3,360,22053,200,c:0
3,3,385921,2,290,22043,260,r:40
9,3,1114038,3,450,14686,200,c:0
8,3,384332,2,290,14326,200,c:20
7,3,2127596,3,640,14766,360,c:0
7,1,294749,3,520,4217,360,c:20
7,2,744019,3,590,3677,320,c:0
5,1,399647,3,380,1727,200,c:0
4,1,304438,2,300,5024,260,c:20
6,1,744329,3,500,5169,200,c:0
5,1,397176,2,200,19025,180,r:40
3,1,385374,2,300,1485,200,c:20
7,1,368706,3,440,1798,260,c:0
4,2,392314,3,370,2165,280,c:20
3,2,390651,2,210,6351,220,c:20
3,1,381332,2,360,8091,200,r:40
5,1,2227798,3,420,8381,260,c:0
5,4,382629,2,280,3400,200,c:20
3,1,1485178,3,360,3320,200,r:20
8,6,396540,3,530,3560,180,c:0
9,6,384333,3,430,4040,260,c:0
5,3,384271,3,490,4965,240,c:0
4,4,398895,2,290,4715,220,c:20
8,2,1115532,3,330,5072,260,c:0
4,3,306800,3,480,5712,280,c:0
3,2,743622,2,280,9454,200,c:20
3,3,397580,2,250,9309,200,c:20
6,4,2227762,3,510,10694,280,c:0
6,6,396723,2,320,12604,200,c:20
4,3,304072,2,230,20123,100,c:20
5,3,395239,3,390,22651,200,c:0
7,1,1114550,4,580,24201,220,c:0
9,4,306632,3,280,20782,200,c:0
4,1,371827,2,260,3139,180,c:20
6,2,744395,2,360,1385,220,c:20
9,8,744581,3,420,8055,360,c:0
5,4,396721,2,330,4903,200,r:40
8,2,394329,4,720,5128,260,c:0
5,4,744298,3,320,5955,260,c:0
4,4,390118,3,300,6715,220,c:20
6,5,744485,2,330,7755,220,r:40
8,6,1485184,2,480,11305,280,c:20
7,3,744705,2,400,12220,120,c:20
7,2,337758,3,320,2362,80,c:0
3,1,398360,2,200,2616,140,c:20
3,1,394836,2,580,3083,360,c:20
5,4,183067,2,470,1817,260,c:20
3,3,744212,2,220,2949,180,c:20
4,1,399454,3,500,3719,240,c:0
4,2,744173,3,360,3779,200,c:0
6,1,396881,3,280,5185,160,c:0
4,2,399428,2,290,6230,180,c:20
9,1,394864,2,260,6900,220,c:20
9,6,395401,3,390,3587,280,c:0
9,2,399247,3,490,4267,360,c:0
4,2,744568,3,370,4997,240,c:0
6,4,399638,2,300,5232,180,c:20
3,1,399092,2,300,5402,220,c:20
5,1,396909,2,280,5647,140,c:20
6,2,389951,2,290,6042,180,c:20
4,2,396696,2,340,8163,220,c:20
5,1,392515,2,200,7333,140,c:20
6,2,368711,3,430,6743,260,c:0
6,2,1114018,3,380,6093,140,c:0
7,7,396852,2,390,46204,260,r:40
9,2,387544,2,270,2761,180,c:20
8,2,301860,4,490,2194,240,c:40
7,1,382811,3,260,8973,160,c:20
9,1,368526,4,500,3337,200,c:40
5,1,392302,2,260,3294,200,c:20
5,1,397244,4,580,3928,380,c:0
9,4,743675,3,430,3314,120,c:20
8,3,306579,4,640,5690,320,c:0
9,4,394160,4,440,5980,140,c:0
9,3,394628,3,440,7658,400,c:0
5,2,744012,3,310,1920,180,c:0
7,2,337767,2,290,2319,140,c:20
5,2,376587,3,400,3455,160,c:0
9,2,394344,4,650,4140,200,c:0
7,2,744111,3,370,3655,200,c:20
3,2,337027,2,210,5469,180,c:20
3,3,377289,2,320,5724,300,c:20
3,2,297284,2,240,8192,120,r:40
3,1,394695,2,240,8397,160,c:20
3,2,379812,2,210,7987,140,c:20
7,3,304448,3,320,7937,260,c:0
8,1,394895,4,560,8417,160,c:40
5,1,388220,2,240,10585,240,c:20
4,1,376403,2,260,26699,140,c:20
8,5,209249,3,370,26589,200,c:0
8,7,366094,2,400,28259,320,c:20
6,4,744348,2,240,36188,140,c:20
4,1,1114829,2,340,4181,500,r:40
4,2,383708,3,300,3731,140,c:0
3,2,244556,2,210,2435,100,c:20
5,4,1114821,2,270,3948,120,r:40
6,1,1114295,2,180,3765,200,c:20
8,1,387755,5,800,2387,240,c:0
