@relation 'Turn Round 1'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
6,1,395359,2,260,5038,240,c:40
5,1,395442,2,200,6123,120,c:40
7,2,744722,3,210,5760,100,c:0
9,7,744171,2,200,6420,120,c:40
4,1,744570,3,300,5950,140,c:0
4,1,384063,2,240,5895,120,c:40
5,2,388220,2,210,5910,100,c:40
4,1,381696,2,180,6191,80,c:40
4,2,359166,2,210,5421,180,c:40
3,3,744541,2,370,4211,220,r:80
6,2,386192,3,340,4471,100,c:40
3,1,381896,2,260,3346,100,c:40
2,1,388769,2,200,2776,220,c:40
5,1,1114988,3,440,3456,140,c:40
5,5,743857,2,380,4036,220,c:40
5,3,386107,2,230,4106,140,c:40
4,1,743805,2,120,3616,140,c:40
4,2,304452,2,330,5646,160,c:40
3,2,743840,2,210,5891,140,c:40
8,5,743676,2,190,6031,120,c:40
3,2,2227773,2,400,5351,240,r:80
3,1,388487,2,240,5201,100,c:40
2,2,390796,2,280,5071,180,c:40
6,3,397624,2,270,4699,120,c:40
6,5,743810,2,290,4554,140,c:40
6,1,399472,2,220,4824,140,c:40
3,2,1114366,2,620,4779,260,r:40
5,4,1115679,2,580,4749,320,r:80
5,2,386276,4,410,5399,100,c:0
7,3,383881,3,330,5319,100,c:40
4,3,2599175,2,270,5189,200,c:40
4,2,399285,3,380,5419,160,c:0
4,1,391044,2,240,5409,160,c:40
6,1,390641,2,240,5609,120,c:40
4,2,742947,2,360,5694,220,r:80
7,4,1485184,2,550,5624,300,r:80
7,2,396906,3,310,5894,140,c:0
2,2,398880,2,280,4864,140,c:40
2,1,743659,2,240,5004,120,c:40
2,1,393241,2,240,5084,160,c:40
2,1,386205,2,360,4934,180,c:40
3,2,1114694,2,450,5434,260,r:80
3,1,1113948,2,240,6047,160,r:80
4,2,743816,2,260,6437,160,r:80
4,2,381695,2,210,6487,140,c:40
3,1,390430,3,300,6857,140,c:40
3,2,1485183,2,290,7197,180,r:80
3,1,388403,2,280,7417,180,c:40
5,2,744184,2,210,7447,140,c:40
5,3,743649,2,230,7267,100,c:40
5,3,744764,2,700,7817,380,r:80
5,1,744221,2,260,7917,160,c:40
5,2,337770,2,130,7728,100,c:40
7,1,744405,2,180,7628,120,c:40
3,1,395242,2,300,9288,160,c:40
6,2,398923,2,210,8998,140,c:40
2,1,743965,2,280,9298,180,c:40
2,1,386065,2,160,9128,80,c:40
4,4,379685,2,500,9711,240,r:80
3,1,377446,2,240,9751,120,c:40
3,2,398906,2,210,9851,140,c:40
4,1,381344,2,200,9981,140,c:40
4,2,386088,2,210,9971,140,c:40
2,1,366319,2,240,9831,160,c:40
2,1,394712,2,360,9531,220,c:40
2,1,381868,2,280,9321,140,r:80
4,1,2162565,2,140,9261,100,c:40
4,2,399611,2,320,10081,180,c:40
4,4,396879,3,550,9971,220,c:40
5,1,390850,3,400,9581,140,c:0
3,1,373401,3,300,9476,100,c:40
2,2,743492,2,240,9186,160,c:40
3,2,744009,2,240,9066,160,c:40
4,4,2227808,3,740,9106,280,r:40
3,3,399655,2,380,8921,180,r:80
7,2,1115718,2,460,8211,240,r:80
4,1,743807,2,240,8716,100,c:40
2,1,1115031,2,280,8276,220,r:80
2,1,306649,2,200,8456,180,c:40
3,2,397247,2,210,7561,140,c:40
2,1,743833,2,320,7551,200,r:80
3,1,275889,2,160,7421,120,c:40
6,1,368700,2,240,7461,120,c:40
7,1,366137,2,280,7331,100,c:40
5,2,399469,2,210,8826,140,c:40
3,1,744206,3,360,8431,200,c:0
6,4,744398,2,330,8931,180,r:80
3,2,366151,2,180,8741,80,c:40
4,1,743675,2,180,9306,80,c:40
3,3,744028,2,370,9446,220,r:80
2,1,379685,2,240,10336,120,c:40
3,1,367953,3,240,10116,80,c:0
8,5,743640,2,240,10106,140,c:40
5,1,385896,2,360,11421,220,c:40
8,1,388443,2,340,10831,140,c:40
6,2,395442,3,300,10961,140,c:0
3,1,390864,2,220,10491,180,c:40
3,2,385882,2,210,10776,140,c:40
3,1,1114638,2,500,11066,220,r:80
3,1,366330,2,280,11386,140,c:40
3,2,744526,2,330,11276,200,c:40
3,1,363771,2,240,11676,120,c:40
3,1,1485182,2,400,11536,240,r:80
3,3,398529,2,300,11496,180,c:40
3,1,1115368,2,380,11366,240,r:80
3,1,2599203,2,240,11066,120,c:40
4,2,399470,2,170,11286,80,c:40
4,2,356814,2,210,11646,100,c:40
4,2,744703,2,170,11216,80,c:40
4,1,392865,2,280,11426,180,c:40
4,3,743976,2,310,11466,180,r:80
4,1,368165,2,280,11106,100,c:40
2,2,391036,2,360,11346,220,c:40
2,1,1114533,2,320,11136,200,r:80
4,4,744160,2,440,11106,260,c:40
