agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SARSA,0,0,-225.2999999999912,-0.09778645833332951,2304.0,2304.0
SARSA,0,1,-283.2999999999918,-0.0919175911251991,2935.0,631.0
SARSA,0,2,-448.59999999998644,-0.09700704225351796,4639.0,1704.0
SARSA,0,3,-573.5999999999833,-0.09607993850883698,5940.0,1301.0
SARSA,0,4,-887.0999999999872,-0.09839924670433269,9126.0,3186.0
SARSA,0,5,-978.499999999986,-0.0947150259067345,10091.0,965.0
SARSA,0,6,-1017.2999999999863,-0.08838268792710786,10530.0,439.0
SARSA,0,7,-1014.5999999999863,0.11249999999999998,10554.0,24.0
SARSA,0,8,-1011.8999999999862,0.11249999999999998,10578.0,24.0
SARSA,0,9,-1008.9999999999862,0.1318181818181818,10600.0,22.0
SARSA,0,10,-1007.5999999999863,0.037837837837837784,10637.0,37.0
SARSA,0,11,-1004.6999999999863,0.1318181818181818,10659.0,22.0
SARSA,0,12,-1001.7999999999863,0.1318181818181818,10681.0,22.0
SARSA,0,13,-1003.9999999999864,-0.030136986301369732,10754.0,73.0
SARSA,0,14,-1001.2999999999863,0.11249999999999998,10778.0,24.0
SARSA,0,15,-998.3999999999863,0.1318181818181818,10800.0,22.0
SARSA,0,16,-1000.8999999999863,-0.03289473684210512,10876.0,76.0
SARSA,0,17,-998.5999999999864,0.0821428571428571,10904.0,28.0
SARSA,0,18,-995.6999999999864,0.1318181818181818,10926.0,22.0
SARSA,0,19,-995.5999999999864,0.0020000000000000282,10976.0,50.0
SARSA,0,20,-993.0999999999864,0.09615384615384612,11002.0,26.0
SARSA,0,21,-990.5999999999864,0.09615384615384612,11028.0,26.0
SARSA,0,22,-988.0999999999864,0.09615384615384612,11054.0,26.0
SARSA,0,23,-985.1999999999864,0.1318181818181818,11076.0,22.0
SARSA,0,24,-982.9999999999864,0.0758620689655172,11105.0,29.0
SARSA,0,25,-980.4999999999864,0.09615384615384612,11131.0,26.0
SARSA,0,26,-988.0999999999864,-0.05984251968503914,11258.0,127.0
SARSA,0,27,-985.1999999999864,0.1318181818181818,11280.0,22.0
SARSA,0,28,-984.0999999999864,0.027499999999999948,11320.0,40.0
SARSA,0,29,-981.0999999999864,0.14285714285714285,11341.0,21.0
SARSA,0,30,-978.5999999999864,0.09615384615384612,11367.0,26.0
SARSA,0,31,-976.4999999999864,0.06999999999999997,11397.0,30.0
SARSA,0,32,-975.6999999999864,0.018604651162790673,11440.0,43.0
SARSA,0,33,-974.3999999999864,0.03421052631578942,11478.0,38.0
SARSA,0,34,-971.9999999999865,0.08888888888888885,11505.0,27.0
SARSA,0,35,-969.0999999999865,0.1318181818181818,11527.0,22.0
SARSA,0,36,-966.1999999999865,0.1318181818181818,11549.0,22.0
SARSA,0,37,-963.6999999999865,0.09615384615384612,11575.0,26.0
SARSA,0,38,-960.7999999999865,0.1318181818181818,11597.0,22.0
SARSA,0,39,-958.0999999999865,0.11249999999999998,11621.0,24.0
SARSA,0,40,-955.1999999999865,0.1318181818181818,11643.0,22.0
SARSA,0,41,-952.5999999999865,0.10399999999999997,11668.0,25.0
SARSA,0,42,-950.1999999999865,0.08888888888888885,11695.0,27.0
SARSA,0,43,-947.2999999999865,0.1318181818181818,11717.0,22.0
SARSA,0,44,-945.3999999999866,0.059374999999999956,11749.0,32.0
SARSA,0,45,-942.6999999999865,0.11249999999999998,11773.0,24.0
SARSA,0,46,-940.3999999999866,0.0821428571428571,11801.0,28.0
SARSA,0,47,-938.2999999999865,0.06999999999999997,11831.0,30.0
SARSA,0,48,-935.5999999999865,0.11249999999999998,11855.0,24.0
SARSA,0,49,-933.2999999999865,0.0821428571428571,11883.0,28.0
SARSA,0,50,-930.5999999999865,0.11249999999999998,11907.0,24.0
SARSA,0,51,-927.6999999999865,0.1318181818181818,11929.0,22.0
SARSA,0,52,-928.4999999999865,-0.013559322033898227,11988.0,59.0
SARSA,0,53,-925.6999999999865,0.12173913043478259,12011.0,23.0
SARSA,0,54,-922.9999999999865,0.11249999999999998,12035.0,24.0
SARSA,0,55,-919.8999999999864,0.15499999999999997,12055.0,20.0
SARSA,0,56,-917.1999999999864,0.11249999999999998,12079.0,24.0
SARSA,0,57,-914.5999999999864,0.10399999999999997,12104.0,25.0
SARSA,0,58,-912.1999999999864,0.08888888888888885,12131.0,27.0
SARSA,0,59,-909.8999999999864,0.0821428571428571,12159.0,28.0
SARSA,0,60,-907.1999999999864,0.11249999999999998,12183.0,24.0
SARSA,0,61,-904.6999999999864,0.09615384615384612,12209.0,26.0
SARSA,0,62,-901.9999999999864,0.11249999999999998,12233.0,24.0
SARSA,0,63,-899.0999999999864,0.1318181818181818,12255.0,22.0
SARSA,0,64,-896.5999999999864,0.09615384615384612,12281.0,26.0
SARSA,0,65,-894.0999999999864,0.09615384615384612,12307.0,26.0
SARSA,0,66,-891.1999999999864,0.1318181818181818,12329.0,22.0
SARSA,0,67,-888.6999999999864,0.09615384615384612,12355.0,26.0
SARSA,0,68,-886.1999999999864,0.09615384615384612,12381.0,26.0
SARSA,0,69,-883.0999999999864,0.15499999999999997,12401.0,20.0
SARSA,0,70,-880.3999999999863,0.11249999999999998,12425.0,24.0
SARSA,0,71,-878.4999999999864,0.059374999999999956,12457.0,32.0
SARSA,0,72,-875.7999999999863,0.11249999999999998,12481.0,24.0
SARSA,0,73,-872.9999999999864,0.12173913043478259,12504.0,23.0
SARSA,0,74,-870.0999999999864,0.1318181818181818,12526.0,22.0
SARSA,0,75,-867.3999999999863,0.11249999999999998,12550.0,24.0
SARSA,0,76,-864.2999999999863,0.15499999999999997,12570.0,20.0
SARSA,0,77,-862.7999999999863,0.041666666666666616,12606.0,36.0
SARSA,0,78,-860.0999999999863,0.11249999999999998,12630.0,24.0
SARSA,0,79,-857.7999999999863,0.0821428571428571,12658.0,28.0
SARSA,0,80,-855.0999999999863,0.11249999999999998,12682.0,24.0
SARSA,0,81,-859.1999999999863,-0.04456521739130417,12774.0,92.0
SARSA,0,82,-858.4999999999862,0.015909090909090894,12818.0,44.0
SARSA,0,83,-855.5999999999863,0.1318181818181818,12840.0,22.0
SARSA,0,84,-852.6999999999863,0.1318181818181818,12862.0,22.0
SARSA,0,85,-850.2999999999863,0.08888888888888885,12889.0,27.0
SARSA,0,86,-850.6999999999863,-0.007272727272727215,12944.0,55.0
SARSA,0,87,-848.0999999999863,0.10399999999999997,12969.0,25.0
SARSA,0,88,-845.1999999999863,0.1318181818181818,12991.0,22.0
SARSA,0,89,-842.8999999999863,0.0821428571428571,13019.0,28.0
SARSA,0,90,-840.1999999999863,0.11249999999999998,13043.0,24.0
SARSA,0,91,-837.2999999999863,0.1318181818181818,13065.0,22.0
SARSA,0,92,-834.9999999999864,0.0821428571428571,13093.0,28.0
SARSA,0,93,-832.4999999999864,0.09615384615384612,13119.0,26.0
SARSA,0,94,-829.7999999999863,0.11249999999999998,13143.0,24.0
SARSA,0,95,-827.8999999999863,0.059374999999999956,13175.0,32.0
SARSA,0,96,-824.9999999999864,0.1318181818181818,13197.0,22.0
SARSA,0,97,-822.8999999999863,0.06999999999999997,13227.0,30.0
SARSA,0,98,-819.9999999999864,0.1318181818181818,13249.0,22.0
SARSA,0,99,-817.4999999999864,0.09615384615384612,13275.0,26.0
SARSA,1,0,-46.100000000000456,-0.09003906250000089,512.0,512.0
SARSA,1,1,-248.79999999999293,-0.09754571703560755,2590.0,2078.0
SARSA,1,2,-640.9000000000148,-0.09871601208459763,6562.0,3972.0
SARSA,1,3,-668.800000000015,-0.08454545454545515,6892.0,330.0
SARSA,1,4,-731.5000000000153,-0.09247787610619532,7570.0,678.0
SARSA,1,5,-773.4000000000158,-0.0891489361702136,8040.0,470.0
SARSA,1,6,-803.600000000016,-0.08555240793201198,8393.0,353.0
SARSA,1,7,-887.0000000000153,-0.09423728813559237,9278.0,885.0
SARSA,1,8,-895.7000000000153,-0.06304347826086933,9416.0,138.0
SARSA,1,9,-900.4000000000152,-0.0479591836734692,9514.0,98.0
SARSA,1,10,-898.1000000000153,0.0821428571428571,9542.0,28.0
SARSA,1,11,-904.6000000000153,-0.056034482758620476,9658.0,116.0
SARSA,1,12,-904.5000000000152,0.0020000000000000282,9708.0,50.0
SARSA,1,13,-902.2000000000153,0.0821428571428571,9736.0,28.0
SARSA,1,14,-964.9000000000157,-0.09247787610619532,10414.0,678.0
SARSA,1,15,-962.8000000000156,0.06999999999999997,10444.0,30.0
SARSA,1,16,-961.1000000000156,0.049999999999999954,10478.0,34.0
SARSA,1,17,-960.5000000000156,0.013333333333333326,10523.0,45.0
SARSA,1,18,-959.6000000000156,0.021428571428571394,10565.0,42.0
SARSA,1,19,-957.3000000000156,0.0821428571428571,10593.0,28.0
SARSA,1,20,-955.1000000000156,0.0758620689655172,10622.0,29.0
SARSA,1,21,-953.2000000000156,0.059374999999999956,10654.0,32.0
SARSA,1,22,-951.4000000000157,0.0545454545454545,10687.0,33.0
SARSA,1,23,-956.1000000000156,-0.0479591836734692,10785.0,98.0
SARSA,1,24,-954.0000000000156,0.06999999999999997,10815.0,30.0
SARSA,1,25,-951.7000000000156,0.0821428571428571,10843.0,28.0
SARSA,1,26,-949.4000000000157,0.0821428571428571,10871.0,28.0
SARSA,1,27,-947.7000000000156,0.049999999999999954,10905.0,34.0
SARSA,1,28,-945.5000000000156,0.0758620689655172,10934.0,29.0
SARSA,1,29,-944.0000000000156,0.041666666666666616,10970.0,36.0
SARSA,1,30,-941.9000000000156,0.06999999999999997,11000.0,30.0
SARSA,1,31,-939.6000000000156,0.0821428571428571,11028.0,28.0
SARSA,1,32,-938.5000000000156,0.027499999999999948,11068.0,40.0
SARSA,1,33,-936.2000000000156,0.0821428571428571,11096.0,28.0
SARSA,1,34,-933.9000000000157,0.0821428571428571,11124.0,28.0
SARSA,1,35,-931.7000000000156,0.0758620689655172,11153.0,29.0
