@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
5,3,-1,1611919
5,4,-1,1611925
8,1,-1,1611927
8,6,-1,1611947
7,3,1116014,1611952
7,2,-1,1611958
6,1,395332,1611964
6,1,-1,1611970
7,4,743111,1611979
7,2,-1,1611984
7,1,-1,1611990
7,6,-1,1612002
8,5,-1,1612008
8,4,-1,1612015
9,3,-1,1612022
9,9,-1,1612037
9,9,-1,1612898
9,5,-1,1612911
9,4,-1,1612919
8,4,-1,1612938
5,2,-1,1612944
5,2,393034,1612949
5,1,-1,1612953
4,3,335389,1612960
4,3,359194,1612964
5,2,-1,1612967
6,6,366315,1612976
5,4,-1,1612980
5,1,-1,1612982
5,1,386607,1612987
5,4,-1,1612995
5,1,395442,1612997
6,3,-1,1613004
7,1,-1,1613301
8,4,-1,1613311
8,3,-1,1613318
9,2,-1,1613325
7,4,-1,1613336
7,3,-1,1613342
7,2,390951,1613348
6,4,-1,1613357
6,2,365418,1613361
5,5,388260,1613370
3,3,378963,1613373
3,3,-1,1613376
4,4,-1,1613380
4,4,368706,1613384
4,3,-1,1613387
5,4,-1,1613392
6,5,332462,1613398
6,4,396543,1613403
9,3,-1,1613408
9,7,-1,1613441
9,6,386107,1613470
9,3,-1,1613530
9,7,393241,1613553
9,7,363953,1613562
6,4,-1,1613568
5,1,-1,1613571
5,5,-1,1613580
6,3,-1,1613583
6,2,744647,1613588
6,1,386401,1613593
7,5,-1,1613603
5,2,-1,1613607
6,6,-1,1613616
5,3,-1,1613619
5,5,396176,1613626
5,4,-1,1613630
5,3,-1,1613634
4,2,744710,1613638
4,1,368332,1613641
5,5,-1,1613649
5,4,384232,1613653
4,1,397090,1613655
4,4,1116030,1613662
4,1,388414,1613663
4,1,382995,1613667
4,4,-1,1613674
3,2,-1,1613676
3,2,395247,1613679
4,3,-1,1613702
4,2,-1,1613705
4,1,380004,1613708
4,4,244766,1613715
4,3,396878,1613718
4,1,383513,1613720
5,4,367799,1613727
5,5,-1,1613733
5,3,-1,1613736
5,2,387023,1613740
5,5,-1,1613748
5,5,-1,1613753
5,4,-1,1613757
5,1,-1,1613759
5,2,-1,1613765
4,2,368669,1613770
5,3,-1,1613978
5,5,-1,1613985
5,2,-1,1613987
6,1,390820,1613991
6,4,-1,1614000
6,1,-1,1614003
7,6,-1,1614014
6,3,-1,1614018
6,6,-1,1614027
6,3,-1,1614030
4,2,-1,1614035
4,1,381304,1614038
4,1,-1,1614042
5,1,-1,1614046
5,5,-1,1614055
5,1,-1,1614056
5,5,-1,1614065
5,5,-1,1614070
4,3,-1,1614073
5,4,-1,1614078
5,3,-1,1614082
5,2,-1,1614086
4,3,330435,1614092
5,5,-1,1614098
5,4,-1,1614102
5,5,183054,1614108
5,5,744352,1614113
5,2,-1,1614115
5,5,-1,1614123
6,5,386455,1614128
6,3,-1,1614132
5,1,-1,1614136
5,4,-1,1614144
5,1,-1,1614146
5,2,325689,1614152
5,1,-1,1614156
7,7,743605,1614167
5,3,-1,1614170
6,3,395245,1614175
6,6,-1,1614184
6,5,275888,1614189
7,6,397021,1614196
6,2,-1,1614199
8,1,-1,1614204
8,8,-1,1614219
4,3,-1,1614222
3,3,397047,1614226
4,4,392473,1614230
4,3,361023,1614233
