@relation 'riverRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute riverRank numeric
@attribute id numeric

@data
5,3,-1,1611919
5,4,-1,1611925
8,1,-1,1611927
8,6,-1,1611947
7,3,2227917,1611952
7,2,-1,1611958
6,1,744749,1611964
6,1,-1,1611970
7,4,743117,1611979
7,2,-1,1611984
7,1,-1,1611990
7,6,-1,1612002
8,5,-1,1612008
8,4,-1,1612015
9,3,-1,1612022
9,9,-1,1612037
9,9,-1,1612898
9,5,-1,1612911
9,4,-1,1612919
8,4,-1,1612938
5,2,-1,1612944
5,2,744183,1612949
5,1,-1,1612953
4,3,388656,1612960
4,3,1115224,1612964
5,2,-1,1612967
6,6,744405,1612976
5,4,-1,1612980
5,1,-1,1612982
5,1,386628,1612987
5,4,-1,1612995
5,1,744755,1612997
6,3,-1,1613004
7,1,-1,1613301
8,4,-1,1613311
8,3,-1,1613318
9,2,-1,1613325
7,4,-1,1613336
7,3,-1,1613342
7,2,744727,1613348
6,4,-1,1613357
6,2,365771,1613361
5,5,388823,1613370
3,3,743112,1613373
3,3,-1,1613376
4,4,-1,1613380
4,4,2193815,1613384
4,3,-1,1613387
5,4,-1,1613392
6,5,379868,1613398
6,4,744528,1613403
9,3,-1,1613408
9,7,-1,1613441
9,6,744196,1613470
9,3,-1,1613530
9,7,2227819,1613553
9,7,368531,1613562
6,4,-1,1613568
5,1,-1,1613571
5,5,-1,1613580
6,3,-1,1613583
6,2,744647,1613588
6,1,386456,1613593
7,5,-1,1613603
5,2,-1,1613607
6,6,-1,1613616
5,3,-1,1613619
5,5,397271,1613626
5,4,-1,1613630
5,3,-1,1613634
4,2,744710,1613638
4,1,386655,1613641
5,5,-1,1613649
5,4,384274,1613653
4,1,744572,1613655
4,4,1116046,1613662
4,1,388416,1613663
4,1,743477,1613667
4,4,-1,1613674
3,2,-1,1613676
3,2,744584,1613679
4,3,-1,1613702
4,2,-1,1613705
4,1,744660,1613708
4,4,394711,1613715
4,3,396895,1613718
4,1,743844,1613720
5,4,382259,1613727
5,5,-1,1613733
5,3,-1,1613736
5,2,2063334,1613740
5,5,-1,1613748
5,5,-1,1613753
5,4,-1,1613757
5,1,-1,1613759
5,2,-1,1613765
4,2,397624,1613770
5,3,-1,1613978
5,5,-1,1613985
5,2,-1,1613987
6,1,390865,1613991
6,4,-1,1614000
6,1,-1,1614003
7,6,-1,1614014
6,3,-1,1614018
6,6,-1,1614027
6,3,-1,1614030
4,2,-1,1614035
4,1,381696,1614038
4,1,-1,1614042
5,1,-1,1614046
5,5,-1,1614055
5,1,-1,1614056
5,5,-1,1614065
5,5,-1,1614070
4,3,-1,1614073
5,4,-1,1614078
5,3,-1,1614082
5,2,-1,1614086
4,3,380062,1614092
5,5,-1,1614098
5,4,-1,1614102
5,5,377291,1614108
5,5,744353,1614113
5,2,-1,1614115
5,5,-1,1614123
6,5,386655,1614128
6,3,-1,1614132
5,1,-1,1614136
5,4,-1,1614144
5,1,-1,1614146
5,2,330450,1614152
5,1,-1,1614156
7,7,743610,1614167
5,3,-1,1614170
6,3,1485183,1614175
6,6,-1,1614184
6,5,743856,1614189
7,6,397613,1614196
6,2,-1,1614199
8,1,-1,1614204
8,8,-1,1614219
4,3,-1,1614222
3,3,397049,1614226
4,4,393033,1614230
4,3,390992,1614233
